Latitude,Longitude,Altitude (MSL),Satellites,Timestamp,Accel X,Accel Y,Accel Z,Altitude (AGL),Gyro X,Gyro Y,Gyro Z
0,0,0,0,0 : 0 : 1 : 420,-10.24,-11.48,-7.69,0,0,0,0
0,0,0,0,0 : 0 : 1 : 440,-10.03,-16.59,-9.53,0,0,0,0
0,0,0,0,0 : 0 : 1 : 460,-11.37,-17.8,-7.62,0,0,0,0
0,0,0,0,0 : 0 : 1 : 480,-8.58,-15.85,-8.97,0,0,0,0
0,0,0,0,0 : 0 : 1 : 500,-4.36,-19.81,-13.22,0,0,0,0
0,0,0,0,0 : 0 : 1 : 520,-8.11,-17.73,-15.56,0,0,0,0
0,0,0,0,0 : 0 : 1 : 540,-6.42,-18.31,-21.08,0,0,0,0
0,0,0,0,0 : 0 : 1 : 560,-3.12,-16.47,-20.47,0,0,0,0
0,0,0,0,0 : 0 : 1 : 580,-5.12,-10.61,-8.3,0,0,0,0
0,0,0,0,0 : 0 : 1 : 600,-3.05,-11,-10.62,0,0,0,0
0,0,0,0,0 : 0 : 1 : 620,-2.18,-8.83,-11.49,0,0,0,0
0,0,0,0,0 : 0 : 1 : 640,-6.6,-7.49,-8.48,0,0,0,0
0,0,0,0,0 : 0 : 1 : 660,-1.59,-5.58,-4.2,0,0,0,0
0,0,0,0,0 : 0 : 1 : 680,-0.04,-1.77,-4.72,0,0,0,0
0,0,0,0,0 : 0 : 1 : 700,-6.29,-1.16,-5.03,0,0,0,0
0,0,0,0,0 : 0 : 1 : 720,-1.43,1.41,-7.14,0,0,0,0
0,0,0,0,0 : 0 : 1 : 740,-4.43,0.49,-6.04,0,0,0,0
0,0,0,0,0 : 0 : 1 : 760,-0.7,-1.9,-2.99,0,0,0,0
0,0,0,0,0 : 0 : 1 : 780,-0.59,-4.61,-3.04,0,0,0,0
0,0,0,0,0 : 0 : 1 : 800,-7.69,-7.34,-10.72,0,0,0,0
0,0,0,0,0 : 0 : 1 : 820,-2.41,-8.15,-10.04,0,0,0,0
0,0,0,0,0 : 0 : 1 : 840,1.16,-10.32,-6.77,0,0,0,0
0,0,0,0,0 : 0 : 1 : 860,-0.22,-9.75,-4.3,0,0,0,0
0,0,0,0,0 : 0 : 1 : 880,-1.18,-3.93,-2.49,0,0,0,0
0,0,0,0,0 : 0 : 1 : 900,-0.61,-5.31,-4.59,0,0,0,0
0,0,0,0,0 : 0 : 1 : 920,-1.13,-5.38,-4.35,0,0,0,0
0,0,0,0,0 : 0 : 1 : 940,-1.52,-7.14,-4.59,0,0,0,0
